Country,Year,Internet Users,Population,Internet Users per 100,Continent,GDP per capita
Egypt,2020,36958534,102334403,36.12,Africa,1975.551906
El Salvador,2020,1670090,6486201,25.74,North America,2557.433638
Equatorial Guinea,2020,287175,1402985,20.46,Africa,8654.536845
Eritrea,2020,36197,3546427,1.02,Africa,131.796207
Estonia,2020,1162285,1326539,87.61,Europe,6238.537506
Eswatini,2020,290777,1160164,25.07,Africa,2729.293
Ethiopia,2020,14197662,114963583,12.35,Africa,220.8912479
Fiji,2020,389814,896444,43.48,Oceania,2230.676374
Finland,2020,4735464,5540718,85.47,Europe,27110.73159
France,2020,49775470,65273512,76.27,Europe,22878.46657
Gabon,2020,928750,2225728,41.72,Africa,4180.765821
Gambia,2020,410071,2416664,16.97,Africa,354.5997263
Georgia,2020,1793920,3989175,44.96,Europe,1258.762596
Germany,2020,71887778,83783945,85.8,Europe,25306.18719
Ghana,2020,6640318,31072945,21.38,Africa,358.9795398
Greece,2020,7222616,10423056,69.28,Europe,13577.87989
Grenada,2020,62472,112519,55.52,North America,5330.401612
Guatemala,2020,4609269,17915567,25.73,North America,1860.753895
Guinea,2020,1069592,13132792,8.14,Africa,411.5014473
Guinea-Bissau,2020,109125,1874000,5.82,Africa,161.3171371
Guyana,2020,256715,786559,32.63,South America,1200.652075
Haiti,2020,1500054,11402533,13.16,North America,371.4241975
Honduras,2020,2518812,9904608,25.42,North America,1392.411829
Hungary,2020,7170034,9660350,74.21,Europe,5634.003948
Iceland,2020,325109,341250,95.27,Europe,33945.31442
India,2020,197107112,1380004385,14.29,Asia,786.7000981
Indonesia,2020,57162793,273523621,20.9,Asia,1143.831514
Iran,2020,37079861,83992953,44.14,Asia,2161.54651
Iraq,2020,6343312,40222503,15.77,Asia,736.2680538
Ireland,2020,3895670,4937796,78.89,Europe,27595.09135
Israel,2020,6194183,8655541,71.54,Asia,22275.75166
Italy,2020,35020458,60461828,57.89,Europe,18982.26929
Jamaica,2020,1179853,2961161,39.85,North America,3665.348369
Japan,2020,115872194,126476458,91.64,Asia,39309.47886
Jordan,2020,5147782,10203140,50.46,Asia,2534.00038
Kazakhstan,2020,12633162,18776707,67.28,Asia,2481.718918
Kenya,2020,7771658,53771300,14.45,Africa,468.6960436
Kuwait,2020,3205171,4270563,75.05,Asia,
Kyrgyzstan,2020,1789108,6524191,27.42,Asia,372.728414
Laos,2020,1235310,7275556,16.97,Asia,554.8798401
Latvia,2020,1577637,1886202,83.67,Europe,5011.219456
Lebanon,2020,4735216,6825442,69.38,Asia,6746.612632
Lesotho,2020,529633,2142252,24.74,Africa,495.7342469
Liberia,2020,461233,5057677,9.12,Africa,155.0332312
Libya,2020,0,6871287,0,Africa,7885.468037
Liechtenstein,2020,36123,38137,94.73,Europe,81647.10003
Lithuania,2020,2115477,2722291,77.71,Europe,5332.238591
Luxembourg,2020,548783,625976,87.65,Europe,52301.58718
Madagascar,2020,1037270,27691019,3.74,Africa,242.6775342
Malawi,2020,1016337,19129955,5.31,Africa,184.1417966
Malaysia,2020,22078776,32365998,68.23,Asia,5184.709328
Maldives,2020,237231,540542,43.88,Asia,4038.857818
Mali,2020,1871064,20250834,9.24,Africa,269.8928811
Malta,2020,346822,441539,78.54,Europe,11066.78414
Mauritania,2020,694536,4649660,14.93,Africa,609.1312059
Mauritius,2020,648381,1271767,50.99,Africa,5182.143721
Mexico,2020,69003337,128932753,53.54,North America,6105.280743
Moldova,2020,2261399,4033963,56.07,Europe,595.8745345
Monaco,2020,34340,39244,87.5,Europe,105147.4377
Mongolia,2020,667070,3278292,20.34,Asia,772.9333448
Montenegro,2020,431858,628062,68.76,Europe,2222.335052
Morocco,2020,19795604,36910558,53.64,Africa,1844.351028
Mozambique,2020,1744811,31255435,5.58,Africa,389.7636343
Myanmar,2020,5611751,54409800,10.32,Asia,1728.293726
Namibia,2020,586379,2540916,23.08,Africa,2667.24671
Nepal,2020,4854342,29136808,16.67,Asia,268.2594495
Netherlands,2020,15630811,17134873,91.21,Europe,26551.84424
New Zealand,2020,3911183,4822233,81.1,Oceania,14778.16393
Nicaragua,2020,1241097,6624554,18.73,North America,948.355952
Niger,2020,498417,24206636,2.06,Africa,180.083376
Nigeria,2020,45078965,206139587,21.87,Africa,544.5994767
North Macedonia,2020,1483590,2083380,71.23,Europe,291362.2829
Norway,2020,5024802,5421242,92.71,Europe,39972.35277
Oman,2020,3082219,5106622,60.37,Asia,11191.81101
Pakistan,2020,23206623,220892331,10.51,Asia,668.547943
Panama,2020,2026251,4314768,46.95,North America,5900.616944
Papua New Guinea,2020,685892,8947027,7.67,Oceania,744.2394132
Paraguay,2020,3071450,7132530,43.05,South America,1621.177078
Peru,2020,12546595,32971846,38.05,South America,3180.430612
Philippines,2020,38018573,109581085,34.69,Asia,1383.401869
Poland,2020,26214979,37846605,69.27,Europe,6575.745044
Portugal,2020,7114095,10196707,69.73,Europe,11744.83417
Qatar,2020,2242778,2881060,77.85,Asia,33931.83208
Romania,2020,11100258,19237682,57.68,Europe,2636.7878
Russia,2020,101411442,145934460,69.46,Europe,2923.144355
Rwanda,2020,2095733,12952209,16.18,Africa,338.2663912
Saint Kitts and Nevis,2020,36195,53192,68.06,North America,9175.796015
Saint Lucia,2020,73241,183629,39.89,North America,5248.582321
Saint Vincent and the Grenadines,2020,52608,110947,47.42,North America,4885.046701
Samoa,2020,51725,197000,26.26,Oceania,1784.071284
Sao Tome and Principe,2020,51935,219161,23.69,Africa,1829.37281
Saudi Arabia,2020,22799204,34813867,65.48,Asia,9425.32587
Senegal,2020,3115294,16743930,18.61,Africa,561.7085848
Serbia,2020,4911514,6804596,72.17,Europe,1194.711433
Seychelles,2020,53858,98340,54.75,Africa,8614.120219
Sierra Leone,2020,464080,7976985,5.82,Africa,268.3317903
Singapore,2020,4700816,5850343,80.36,Africa,32535.83251
Slovakia,2020,4211254,5459643,77.13,Asia,8445.526689
Slovenia,2020,1521085,2078932,73.16,Europe,12729.4544
Somalia,2020,242245,15893219,1.52,Africa,2017.273819
South Africa,2020,29010587,59308690,48.91,Africa,3745.649852
South Korea,2020,45842053,51640000,88.79,Asia,128192.192
South Sudan,2020,335829,11193729,3,Africa,1728.192
Spain,2020,36536652,46754783,78.13,Europe,15461.75837
Sri Lanka,2020,2581740,21413250,12.06,Asia,1295.742686
Sudan,2020,0,43849269,0,Africa,523.9501515
Suriname,2020,246096,586634,41.94,South America,2668.020519
Sweden,2020,8924510,10099270,88.36,Europe,32292.48298
Switzerland,2020,7244784,8654618,83.71,Europe,37662.75125
Syria,2020,5757673,17500657,32.9,Asia,1525.780116
Taiwan,2020,11727649,23816775,49.26,Asia,46271.23304
Tajikistan,2020,1617868,9537642,16.96,Asia,279.1804526
Tanzania,2020,5254282,56320000,9.33,Africa,456.3857117
Thailand,2020,27637039,69799978,39.59,Asia,2712.517199
Timor-Leste,2020,224283,1268000,17.69,Asia,369.5729537
Togo,2020,532094,8278737,6.43,Africa,285.2244493
Trinidad and Tobago,2020,950577,1399491,68,North America,10480.8172
Tunisia,2020,5374367,11818618,45.46,Africa,3164.927693
Turkey,2020,42805821,84339067,50.74,Asia,5348.597192
Uganda,2020,2136209,45741000,4.67,Africa,377.4211133
Ukraine,2020,21989568,43733759,50.28,Europe,1036.830725
United Arab Emirates,2020,8069803,9890400,81.59,Asia,21087.39412
United Kingdom,2020,60006613,67886004,88.39,Europe,28033.48928
United States of America,2020,242008728,331002647,73.08,North America,37491.17952
Uruguay,2020,2197228,3473727,63.26,South America,9106.327234
Uzbekistan,2020,13246350,33469199,39.59,Asia,952.8272608
Venezuela,2020,17707239,28435943,62.28,South America,5528.363114
Vietnam,2020,41486130,97338583,42.61,Asia,722.8075588
Yemen,2020,6868328,29825968,23.03,Asia,610.3573673
Zambia,2020,1429844,18383956,7.77,Africa,432.226337
Zimbabwe,2020,3219232,14862927,21.65,Africa,320.7718899
